id,name,email,city,age
001,Keeley Bosco,katlyn@jenkinsmaggio.net,Lake Gladysberg,22
002,Dr. Araceli Lang,mavis_lehner@jacobi.name,Yvettemouth,34
003,Terrell Boyle,augustine.conroy@keebler.name,Port Reaganfort,36
004,Alessandro Barton,sigurd.hudson@hodkiewicz.net,South Pearl,21
005,Keven Purdy,carter_zboncak@schmidtjenkins.info,Port Marjolaineshire,33
006,Jocelyn Abbott,jocelyn.abbott@gmail.com,New York,27
007,John Smith,john.smith@hotmail.com,San Francisco,41
008,Samantha Garcia,samantha.garcia@gmail.com,Los Angeles,29
009,Jackie Chan,jackie.chan@yahoo.com,Beijing,56
010,Emma Stone,emma.stone@gmail.com,Los Angeles,32
